Voie par ordre alpha des voies;Voie par ordre alpha des noms;Type de voie;Arrt de Lyon (actuel);Arrondissement ou commune d'origine;Validité;Création et modifications;Historique de la voie;Sources;Origine du nom de la voie;Tenant;Aboutissant;Thématiques;Domanialité;Code INSEE;Code FUV;Code FUV actu;Code FANTOIR
5e avenue de la Duchère;Duchère (5e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A changé de dénomination en 1989 : est devenue l'avenue du Plateau.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29042;32100;6903892359Y
6e avenue de la Duchère.;Duchère (6e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A changé de dénomination en 1989 : est devenue le boulevard de Balmont.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29044;32098;6903892360Z
7e avenue de la Duchère;Duchère (7e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A changé de dénomination en 1989 : est devenue l'avenue d'Écully.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29046;32110;6903892361A
8e avenue de la Duchère;Duchère (8e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 2e avenue de la Duchère et la 9e avenue de la Duchère en 1989 : est devenue le boulevard de la Duchère.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;29048;32099;6903892362B
9e avenue de la Duchère;Duchère (9e avenue de la);AVENUE;9e;;Historique;Dénommée en 1958 et renommée en 1989.;A fusionné avec la 2e avenue de la Duchère et la 8e avenue de la Duchère en 1989 : est devenue le boulevard de la Duchère.;Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/589;Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.;;;Histoire locale/Moyen Âge;;69389;30649;32371;6903892363C
Aire de sports Alexandra-David-Neel;Alexandra-David-Neel (aire de sports);AIRE;9e;;Actuelle;Dénommée en 2018.;Nouvelle voie.;Délibération du Conseil municipal du 28 mai 2018.;Née le 24 octobre 1868 à Saint-Mandé, morte le 8 septembre 1969 à Digne-les-Bains. Orientaliste, tibétologue, chanteuse d'opéra et féministe, journaliste et anarchiste, écrivaine et exploratrice, franc-maçonne et bouddhiste française.;Rue Joannes-Carret;Rue des Docks;Femme/Littérature/Religion/Personnalité;;;;;
Allée Achille-Lignon;Achille-Lignon (allée);ALLEE;6e;;Actuelle;Dénommée en 1997.;"A été dénommée quai de la Digue jusqu'en 1864.
A été dénommée quai de la Tête-d'Or jusqu'en 1937.
A été dénommée quai Achille-Lignon jusqu'en 1997.";Rues de Lyon à travers les siècles de Maurice Vanario (2002);Charles Achille Lignon, né le 22 février 1854 à Saint-Jean de Védas, mort le 9 décembre 1936 à Lyon, est un des créateurs de la foire de Lyon et son premier directeur jusqu'à sa mort.;;Avenue de Grande-Bretagne;Évènements/Foire/Personnalité;;69386;33964;;
Allée Adolphe-Lafont;Adolphe-Lafont (allée);ALLEE;8e;;Actuelle;Créée en 1993.;Nouvelle voie.;Délibération du Conseil municipal du 5 juillet 1993. Rues de Lyon à travers les siècles de Maurice Vanario (2002);Né le 22 mars 1870 au 36 rue de la Charité à Lyon, mort à Villeurbanne le 13 juin 1952. Industriel spécialisé dans la production de tenues de travail.;Rue Laënnec;Rue Guillaume-Paradin;Industrie/Personnalité;Privé;69388;34596;;6903880070P
Allée Ambroise-Croizat;Ambroise-Croizat (allée);ALLEE;2e;;Actuelle;Créée en 2011.;Allée longeant le centre commercial de Confluence.;Délibération du Conseil municipal du 7 novembre 2011.;Né le 28 janvier 1901 à Notre-Dame-de-Briançon, mort le 11 février 1951 à Suresnes. Ministre du travail de 1945 à 1947, il met en place les systèmes de sécurité sociale et de retraite. Il passe sa jeunesse dans la région lyonnaise, ouvrier métallurgiste, militant syndical et politique. Il passe ensuite au niveau national, secrétaire général CGT métallurgie et député communiste.;Quai Arlès-Dufour;Rue Paul-Montrochet;Politique/Syndicalisme/Personnalité;Métropole;69382;36018;;
Allée André-Mure;André-Mure (allée);ALLEE;2e;;Actuelle;Dénommée en 2009.;Nouvelle voie.;Délibération du Conseil municipal du 14 septembre 2009.;Photographe, homme de lettres et journaliste au Progrès. Adjoint à la culture de Lyon de 1977 à 1989, à l’origine du marché de la création, de la Maison de la photo devenue Institut Lumière et de la Maison de la danse. né à Lyon (4e) le 16 août 1922, mort le 27 février 2007 à Villeurbanne.;Rue Casimir-Périer;Quai Antoine-Riboud;Culture/Politique/Personnalité;Métropole;69382;35697;;6903820259W
Allée Blache;Blache (allée);ALLEE;4e;;Supprimée;Dénommée en 1922 et supprimée en 1987.;Nouvelle voie.;"Délibération du Conseil municipal du 12 juin 1922. 
Rues de Lyon à travers les siècles de Maurice Vanario (2002)";"Inventeur du métier à la ""petite tire"" avec Galantier (1627).";Rue Pernon;Allée Ringuet;Textile/Personnalité;;69384;27977;;6903840925L
Allée Christine-Pascal;Christine-Pascal (allée);ALLEE;7e;;Actuelle;Dénommée en 2020.;Nouvelle voie.;Délibération du Conseil municipal du 28 janvier 2020.;Actrice, scénariste et réalisatrice, née à Lyon le 29 novembre 1953, morte le 30 août 1996 à Garches.;Avenue Jean-François-Raclet;Rue Françoise-Sagan;Cinéma/Personnalité/Femme;En attente;69387;37209;;
Allée Couverte;Couverte (allée);ALLEE;1er;;Supprimée;Attestée en 1975.;;Rues de Lyon à travers les siècles de Maurice Vanario (2002);Couverte par l'arche d'une maison.;Rue du Sergent-Blandan;Place Gabriel-Rambaud;Architecture;;;;;
Allée de Beaulieu-Montribloud;Beaulieu-Montribloud (allée de);ALLEE;9e;;Actuelle;Dénommée en 1968.;;Attribué par la Société Baticoop, après accord du Maire de Lyon, le 22 juillet 1968. Rues de Lyon à travers les siècles de Maurice Vanario (2002);Nom attribué par la société Baticoop après accord du maire de Lyon, le 22 juillet 1968.;Rue Montribloud;;;Privé;69389;28939;;6903890750Z
Allée de Belle-Vue;Belle-Vue (allée de);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;Inconnue.;;;;Commune;69386;33765;;6903860809B
Allée de Bretagne;Bretagne (allée de);ALLEE;5e;;Actuelle;Attestée en 2000.;;Rues de Lyon à travers les siècles de Maurice Vanario (2002);En hommage à la région.;Rue Pierre-Valdo;;Géographie;Privé;69385;32863;;6903851200F
Allée de Ceinture;Ceinture (allée de);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;Entoure la partie sud du Parc de la Tête-d'Or.;Allée du Lac;Allée du Chemin-de-Fer;Parc;Commune;69386;33767;;6903861361B
Allée de Fontenay;Fontenay (allée de);ALLEE;7e;;Actuelle;Dénommée en 2005.;A été dénommée mail de Fontenay de 200 à 2005.;Délibération du Conseil municipal du 10 octobre 2005.;Ce chemin longe le dos de l'École Normale Supérieure Lettres et Sciences Humaines. Il honore la ville de Fontenay-aux-Roses, en région parisienne, dans laquelle cette école a commencé à former les jeunes destinées à devenir institutrices. L'école  a déménagé à Lyon en l'an 2000, préparant désormais à l'agrégation.;Rue André-Bollier;Avenue Debourg;Enseignement supérieur;Métropole;69387;34431;;6903872918P
Allée de la Conservation;Conservation (allée de la);ALLEE;5e;;Supprimée;Attestée en 1745.;Allait de la rue Saint-Jean au cul-de-sac de la rue des Trois-Maries.;"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
Almanach de 1745.";A pris son nom de ce qu'elle conduisait au lieu où se tenait le tribunal de la Juridiction de la Conservation des privilèges des foires de Lyon.;;;Histoire locale/Foires/Justice;;;;;
Allée de la Santé;Santé (allée de la);ALLEE;5e;;Actuelle;Attestée en 1938.;;Rues de Lyon à travers les siècles de Maurice Vanario (2002);Inconnue.;Rue François-Genin;;;Privé;69385;28135;;6903856665W
Allée de la Sauvegarde;Sauvegarde (allée de la);ALLEE;9e;;Actuelle;Dénommée en 2007.;;Délibération du Conseil municipal du 25 juin 2007.;Sauvegarde est le nom du quartier. L’origine semble être très ancienne car il y avait un hameau nommé la Sauvegarde, à Écully, sous la domination romaine.;Rue Louis-Juttet;Avenue Ben-Gourion;Histoire locale/Urbanisme/Antiquité;Métropole;69389;35335;;6903896699R
Allée de la Tête-d'Or;Tête-d'Or (allée de la);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;Nom provenant d'une légende relative à une tête en or, qui aurait été enterrée sur le domaine qui portait déjà ce nom en 1520, alors propriété de la famille Lambert.;Allée de Ceinture;Allée du Parc-aux-Daims;Histoire locale;Commune;69386;33774;;6903866952D
Allée de la Volière;Volière (allée de la);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;La volière d'origine du parc de la Tête d'Or, détruite vers 1966, fut réalisée par Jules Lasnier en 1858.;Allée du Grand-Camp;Allée de Ceinture;Ornithologie;Commune;69386;33769;;6903867525B
Allée de l'Abondance;Abondance (allée de l');ALLEE;7e;La Guillotière;Historique;Attestée de 1839 à 1860.;A été supprimée entre 1860 et 1870.;Rues de Lyon à travers les siècles de Maurice Vanario (2002);En mémoire d'une auberge du XVIIe siècle à l'enseigne de l'Abondance, dit logis de l'Abondance, du faubourg de la Guillotière. Claude Bourgelat y installe, en 1761-1762, la première école vétérinaire du monde.;;;Enseignement/Médecine vétérinaire/Commerce;;;;;
Allée de l'Aquilon;Aquilon (allée de l');ALLEE;9e;5e;Actuelle;Dénommée en 1959.;A été dénommée allée Palandre.;"Nom attribué par la Société Immobilière de la Gravière avec apporbation du maire de Lyon le 14 décembre 1959. 
Rues de Lyon à travers les siècles de Maurice Vanario (2002)";Nom attribué par la Société Immobilière de la Gravière avec apporbation du maire de Lyon le 14 décembre 1959.;Rue de la Persévérance;;Mythologie;Privé;69389;28940;;6903890420R
Allée de l'Aurore;Aurore (allée de l');ALLEE;5e;;Actuelle;Attestée en 1936.;;Rues de Lyon à travers les siècles de Maurice Vanario (2002);Inconnue.;Rue des Aqueducs;;;Privé;69385;28134;;6903850565R
Allée de l'Île;Île (allée de l');ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;Conduit à la Grande-Île du parc de la Tête-d'Or.;Pont du Chalet;Allée des Ébats;Géographie;Commune;69386;33764;;6903863578L
Allée de l'Observatoire;Observatoire (allée de l');ALLEE;9e;;Actuelle;Créée en 1959.;Voie ouverte et dénommée en 1959 par la Société immobilière de la Gravière.;Accord du Maire de Lyon du 4 octobre 1959. Rues de Lyon à travers les siècles de Maurice Vanario (2002);Voie ouverte et dénommée ainsi, en 1959, par la société immobilière de la Gravière.;Rue de la Gravière;;Urbanisme;Privé;69389;28941;;6903895110N
Allée de Lodz;Lodz (allée de);ALLEE;7e;;Actuelle;Dénommée en 1996.;;Délibération du Conseil municipal du 8 juillet 1996. Rues de Lyon à travers les siècles de Maurice Vanario (2002);Ville de Pologne jumelée avec Lyon.;Rue Jonas-Salk;;Jumelage/Pologne;Métropole;69387;33715;;6903874220E
Allée de l'Orangerie;Orangerie (allée de l');ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;En référence au bâtiment de l'Orangerie du parc de la Tête-d'Or.;Allée des Ébats;Allée du Chemin-de-Fer;Botanique;Commune;69386;33762;;6903865261R
Allée des Cavatines;Cavatines (allée des);ALLEE;9e;;Actuelle;Créée en 1959.;Nouvelle voie.;Dénommée par la Société immobilière de la Gravière avec accord du Maire le 14 novembre 1959. Rues de Lyon à travers les siècles de Maurice Vanario (2002);Dénommée par la Société immobilière de la Gravière. Une cavatine est une courte pièce vocale pour soliste utilisée dans les opéras ou les oratorios du XVIIIᵉ siècle et du XIXᵉ siècle, et qui ne comporte qu'une ou deux sections sans reprises.;Rue de la Gravière;Rue de la Gravière;Musique;Privé;69389;28942;;6903891320U
Allée des Désirs;Désirs (allée des);ALLEE;6e;La Guillotière;Sans suite;;"Nom prévu par Antoine Morand sur ses plans.
Correspond à la rue de Sèze.";Rues de Lyon à travers les siècles de Maurice Vanario (2002) et 3S/49;Nom prévu par Antoine Morand sur ses plans du nouveau quartier des Brotteaux.;;;;;;;;
Allée des Ébats;Ébats (allée des);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;Du nom de la pelouse du Parc de la Tête d'Or, dédiée à des activités ludiques ou sportives d’entraînement. Elle fut la seule prairie autorisée au public jusqu’en 2002, date à laquelle toutes les pelouses sont devenues accessibles.;Allée du Chemin-de-Fer;;Sport;Commune;69386;33761;;6903862435U
Allée des Images;Images (allée des);ALLEE;1er ;;Supprimée;Attestée en 1782 et supprimée en 1858.;A été supprimée lors de la création de la rue de l'Impératrice.;"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Reg. 129 St-Nizier, n° 503.";Passage où étaient installés des marchands de gravures, imprimeurs et lithographes.;Place de la Fromagerie;;Commerce/Imprimerie;;;;;
Allée des Marronniers;Marronniers (allée des);ALLEE;1er;;Actuelle;Attestée en 1922.;;Rues de Lyon à travers les siècles de Maurice Vanario (2002);Elle rend hommage à la double rangée d'arbre qui la borde.;Rue Pierre-Dupont;;Botanique;Privé;69381;27256;;6903814600U
Allée des Morts;Morts (allée des);ALLEE;2e;;Supprimée;Attestée en 1895.;A été également dénommé passage Saint-Nizier ou cour Saint-Nizier.;Rues de Lyon à travers les siècles de Maurice Vanario (2002);Inconnue.;;;;;;;;
Allée des Mûriers;Mûriers (allée des);ALLEE;3e;La Guillotière;Supprimée;Attestée en 1848.;Voie supprimée.;Rues de Lyon à travers les siècles de Maurice Vanario (2002);Inconnue.;;;;;;;;
Allée des Ormeaux;Ormeaux (allée des);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;En référence à l'espèce d'arbres.;Allée du Chalet;Allée du Lac;Botanique;Commune;69386;33760;;6903865265V
Allée des Pavillons;Pavillons (allée des);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;"Il s'agit probablement de Pavillons dans le sens de maisons.

";;;Urbanisme;Privé;69386;28355;;6903865310U
Allée des Pavillons;Pavillons (allée des);ALLEE;6e;;Supprimée;Attesté de 1912 à 1962.;;"Fiches préparatoires de Vanario.
Liste des voies privées de 1962.";"Il s'agit probablement de Pavillons dans le sens de maisons.

";Cours Vitton;;Urbanisme;;;;;
Allée des Serres;Serres (allée des);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;Longe les serres du parc de la Tête d'Or.;Allée du Fleuriste;;Botanique;Commune;69386;33773;;6903866736U
Allée des Soupirs;Soupirs (allée des);ALLEE;6e;La Guillotière;Sans suite;;"Nom prévu par Antoine Morand sur ses plans.
Correspond à la rue Tronchet.";3S/49;Nom prévu par Antoine Morand sur ses plans du nouveau quartier des Brotteaux.;;;;;;;;
Allée des Tamaris;Tamaris (allée des);ALLEE;5e;;Actuelle;;Nouvelle voie.;Rues de Lyon à travers les siècles de Maurice Vanario (2002);Inconnue.;Rue Pierre-Valdo;;;Privé;69385;28136;;6903856870U
Allée des Troènes;Troènes (allée des);ALLEE;5e;;Actuelle;Dénommée en 1957.;;Rues de Lyon à travers les siècles de Maurice Vanario (2002);Inconnue.;Boulevard des Castors;;Botanique;Privé;69385;28137;;6903857135G
Allée des Villas;Villas (allée des);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;Allée qui longe les demeures entre le boulevard des Belges et le parc de la Tête d'Or.;Allée de Ceinture;Allée de la Tête-d'Or;Urbanisme/Histoire locale;Commune;69386;33775;;6903867390E
Allée d'Italie;Italie (allée d');ALLEE;7e;;Actuelle;Dénommée en 1986.;A été dénommée rue couverte des Abattoirs.;Délibération du Conseil municipal du 28 avril 1986. Rues de Lyon à travers les siècles de Maurice Vanario (2002);En souvenir de la communauté italienne habitant le quartier.;Place de l'École;Place des Pavillons;Immigration/Italie;Métropole;69387;30070;;6903873600F
Allée du Bon-Lait;Bon-Lait (allée du);ALLEE;7e;;Actuelle;Dénommée en 2006.;Nouvelle voie.;Délibération du Conseil municipal du 18 septembre 2006.;Prend son nom d'une usine Le Bon Lait qui a occupé les lieux au XXe siècle.;Rue Félix-Brun;Place du Traité-de-Rome;Industrie;Métropole;69387;35263;;6903870994Y
Allée du Capitaine-Frank-Labois;Capitaine-Frank-Labois (allée du);ALLEE;8e;;Actuelle;Dénommée en 2021.;A été une allée sans dénomination jusqu'en 2021. Plaque dévoilée le 13/01/2022.;Délibération du Conseil municipal du 8 juillet 2021.;Fonctionnaire de police, décédé en service  le 11/01/2020 à Bron.;Rue Bataille;Rue Président-Krüger;Police/Personnalité;Commune;69388;37267;;
Allée du Chalet;Chalet (allée du);ALLEE;6e;;Actuelle;Dénommée en 2007.;Allée du parc de la Tête-d'Or.;Délibération du Conseil municipal du 17 septembre 2007.;En référence au pavillon du Chalet, bâtiment du parc de la Tête-d'Or.;Allée Achille-Lignon;Allée du Grand-Camp;Parc;Mixte;69386;33763;;6903861369K
Allée du Champ-de-Colle;Champ-de-Colle (allée du);ALLEE;5e;;Actuelle;Créée en 2011.;Nouvelle voie.;Délibération du Conseil municipal du 28 février 2011.;"Nom du lieu au moyen âge. Une étymologie le fait découler des martyrs de Lyon, les ""décollés"" (décapités).";Rue de l'Antiquaille;;Histoire locale;Privé;69385;35913;;6903851405D
