Voie par ordre alpha des voies,Voie par ordre alpha des noms,Type de voie,Arrt de Lyon (actuel),Arrondissement ou commune d'origine,Validité,Création et modifications,Historique de la voie,Sources,Origine du nom de la voie,Tenant,Aboutissant,Thématiques,Domanialité,Code INSEE,Code FUV,Code FUV actu,Code FANTOIR
Avenue de la Châtelaine.,Châtelaine (avenue de la),AVENUE,3e,,Supprimée,Attestée de 1868 à 1887.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Avenue de l'Hôtel-Dieu,Hôtel-Dieu (avenue de l'),AVENUE,3e,La Guillotière,Supprimée,Dénommée de 1842 à 1845.,A été absorbée par la rue Servient.,"Délibération du Conseil Municipal de la Guillotière du 15 mai 1842.
Fiches préparatoires de Vanario.
Indicateur de 1845.",En référence à l'hôpital de l'Hôtel-Dieu.,,,Santé/Hospices civils de Lyon,,,,,
Avenue des Peupliers,Peupliers (avenue des),AVENUE,3e,,Supprimée,Attestée seulement en 1852.,,315W,Inconnue.,,,Botanique,,,,,
Avenue des Soupirs,Soupirs (avenue des),AVENUE,6e,,Supprimée,Attestée seulement en 1823.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Boulevard de la Grenouille,Grenouille (boulevard de la),BOULEVARD,4e,La Croix-Rousse,Supprimée,Attesté en 1656.,,"Fiches préparatoires de Vanario.
Manuscrit Vermorel, t. 4, p. 665.",Inconnue.,,,,,,,,
Boulevard des Tchécoslovaques,Tchécoslovaques (boulevard des),BOULEVARD,8e,7e,Supprimée,Dénommé en 1939.,A été dénommé boulevard des Hirondelles jusqu'en 1939.,Délibération du Conseil municipal du 1er mai 1939. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Nom attribué le 1er mai 1939 par délibération du Conseil Municipal, en signe de mauvaise conscience pour les accords de Munich de 1938.",Avenue Berthelot,Cours Gambetta,Politique/Tchécoslovaquie,,69388.0,28717.0,,6903886950T
Chemin au nord du Fort-de-la-Vitriolerie,Fort-de-la-Vitriolerie (chemin au nord du),CHEMIN,7e,,Supprimée,Attesté en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Une fabrique d'acide sulfurique, établie en ce lieu en 1803, donna son nom au quartier. Le fort de la Vitriolerie, construit en 1840,  est un ouvrage de la première ceinture de Lyon. Il est aujourd'hui plus connu sous le nom de quartier général Frère à Lyon. ",,,Fortifications/Industrie/Chimie,,,,,
Chemin de Chaly,Chaly (chemin de),CHEMIN,7e,La Guillotière,Supprimée,Attesté seulement en 1839.,"Voie disparue, se trouvait vers le fort de la Vitriolerie.","Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
3S/65",Inconnue.,,,,,,,,
Chemin de Cuire,Cuire (chemin de),CHEMIN,4e,,Supprimée,Attesté en 1853.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Mène au quartier de Cuire à Caluire.,,,Géographie,,,,,
Chemin de Fourvière,Fourvière (chemin de),CHEMIN,5e,,Supprimée,Attesté en 1853.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1853.","Le nom de Fourvière vient du latin ""Forum vetus"", ou ""Vieux forum"" : le premier construit à Lugdunum.",,,Antiquité/Religion,,,,,
Chemin de Frontignan,Frontignan (chemin de),CHEMIN,3e,,Supprimée,Attesté seulement en 1868.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1858",Inconnue.,,,,,,,,
Chemin de Gerlou,Gerlou (chemin de),CHEMIN,,La Guillotière,Supprimée,Attesté seulement en 1827.,,"Fiches préparatoires de Vanario.
Indicateur de 1827 p. 4.",Inconnue.,,,,,,,,
Chemin de la Cité-du-Rhône,Cité-du-Rhône (chemin de la),CHEMIN,6e,3e,Supprimée,Attesté de 1853 à 1868.,,"Fiches préparatoires de Vanario.
Indicateur de Lyon de 1853.",Du nom d'un quartier.,Cours Morand,,Histoire locale/Urbanisme,,,,,
Chemin de la Croix-Delorme,Croix-Delorme (chemin de la),CHEMIN,7e,La Guillotière,Supprimée,Attesté de 1837 à 1853.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Nom de l'ancien propriétaire de ce lieu qui fit élever une croix.,,,Histoire locale,,,,,
Chemin de la Croix-Rousse,Croix-Rousse (chemin de la),CHEMIN,4e,La Croix-Rousse,Supprimée,Attesté en 1846.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"La ""Croix-Rousse"" nommée ainsi du fait de la couleur de sa pierre, se trouve mentionnée sur le plan de 1550. Elle était au carrefour actuellement formé par la rue Coste, la rue de Margnolles et la montée de la Boucle.",,,Religion/Histoire locale,,,,,
Chemin de la Duchère,Duchère (chemin de la),CHEMIN,9e,,Supprimée,Attesté en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",Chemin Saint-Simon,,Histoire locale/Moyen Âge,,,,,
Chemin de la Femme-Morte,Femme-Morte (chemin de la),CHEMIN,3e,,Supprimée,Attesté en 1868.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1868.",Inconnue.,Chmenin du Moulin-à-Vent,Route d'Heyrieux,Femme,,,,,
Chemin de la Fontanière,Fontanière (chemin de la),CHEMIN,5e,,Supprimée,,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Montée Saint-Laurent,,,,,,,
Chemin de la Fusillade,Fusillade (chemin de la),CHEMIN,6e,La Guillotière,Supprimée,Attesté de 1839 à 1860.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Nom donné en souvenir des massacres de la Terreur, en 1793 et 1794.",,Cours Lafayette,Révolution française,,,,,
Chemin de la Mandolière,Mandolière (Chemin de la),RUE,1er,,Supprimée,A été supprimé en 1620.,,Plan topographique en 1350 par B. Vermorel (1S/181),Inconnue.,,,,,,,,
Chemin de la Tête-d'Or,Tête-d'Or (chemin de la),CHEMIN,6e,La Guillotière,Supprimée,Attesté de 1823 à 1860.,"A été également appelé chemin de la Ferme-de-la-Tête-d'Or.
A été en partie supprimé lors de la création du parc de la Tête-d'Or.
Un fragment a changé de dénomination : est devenu la rue de la Ferme.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Nom provenant d'une légende relative à une tête en or, qui aurait été enterrée sur le domaine qui portait déjà ce nom en 1520, alors propriété de la famille Lambert.",,,Histoire locale,,,,,
Chemin de la Tour,Tour (chemin de la),CHEMIN,7e,3e,Supprimée,Attesté de 1888 à 1987.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Indicateur Henry de 1888.",Rappelait un édifice situé sur les dépendances actuelles du Vinatier.,,,Histoire locale,,69387.0,28495.0,,6903877050F
Chemin de la Tour-de-la-Grange-D'Ainay,Tour-de-la-Grange-d'Ainay (chemin de la),CHEMIN,7e,3e,Supprimée,Attesté en 1902.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Délibération du Conseil Municipal du 15 avril 1902. (Classement dans la vicinalité)","Ce chemin qui longeait la maison forte dite ""Grange d'Ainay"", disparut lors de l'agrandissement du port Édouard Herriot.",Chemin vicinal ordinaire 45 (rue de Chalon),Rue de Gerland,Fortifications,,,,,
Chemin de l'Elisée,Elisée (chemin de l'),CHEMIN,6e,La Guillotière,Supprimée,Attesté en 1823.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),En référence à L'Élysée lyonnais. Parc d'attractions du début du XIX e siècle.,,,Loisirs,,,,,
Chemin de ronde de l'Abattoir,Abattoir (chemin de ronde de l'),CHEMIN,9e,5e,Supprimée,Attesté en 1868.,"Chemin vicinal ordinaire n° 133.
A été supprimé en même temps que les abattoirs de Vaise.",936W/8213,Le nom provient de l'ancien abattoir de Vaise (1858-1928). ,,,Alimentation,,,,,
Chemin de ronde des Remparts-de-Saint-Georges,Remparts-de-Saint-Georges (chemin de ronde des),CHEMIN,5e,,Supprimée,Attesté en 1821.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),En référence aux fortifications du XIVe siècle.,,,Fortifications/Histoire militaire,,,,,
Chemin de Saint-Rambert,Saint-Rambert (chemin de),CHEMIN,9e,,Supprimée,Attesté en 1868.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Annuaire de 1868.",Voie qui menait à Saint-Rambert.,Rue de Saint-Cyr,,Géographie/Religion/Personnalité,,,,,
Chemin des Brotteaux-Rouges,Brotteaux-Rouges (chemin des),CHEMIN,7e,La Guillotière,Supprimée,Attesté en 1790.,Se trouvait à l'emplacement du quai Fillion.,"Fiches préparatoires de Vanario.
Plan de Leroy de 1790.",Du nom d'une île qui se trouvait au sud de la Vitriolerie.,,,Topographie,,,,,
Chemin des Chartreux,Chartreux (chemin des),CHEMIN,1er,,Supprimée,Attesté en 1868.,,"Fiches préparatoires de Vanario.
Annuaire 1868.",Monastère des Chartreux fondé en 1584.,Rue du Cardinal-Fesch,Boulevard de l'Empereur,Religion,,,,,
Chemin des Combes,Combes (chemin des),CHEMIN,3e,La Guillotière,Supprimée,Attesté seulement en 1827.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Chemin des Gravières.,Gravières (chemin des),CHEMIN,7e,3e,Supprimée,Attesté en 1903.,Voie supprimée du port Édouard-Herriot.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1903.",Inconnue.,,,,,,,,
Chemin des Lilas,Lilas (chemin des),CHEMIN,9e,5e,Supprimée,Attesté en 1930.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Chemin des Rivières,Rivières (chemin des),CHEMIN,7e,La Guillotière,Supprimée,Attesté en 1824.,Se trouvait près du fort de la Vitriolerie.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Délibération du Conseil Municipal de la Guillotière de 1824 (Fourniture de graviers pour le chemin des Rivières.)",Inconnue.,,,Géographie/Cours d'eau,,,,,
Chemin des Sœurs,Sœurs (chemin des),CHEMIN,3e,,Supprimée,Attesté seulement en 1904.,,Liste des voies privées de 1904.,Inconnue.,,,Religion/Femme,,,,,
Chemin des Tuileries,Tuileries (chemin des),CHEMIN,9e,Vaise,Supprimée,Attesté en 1842.,A été supprimé.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Plan de Vaise de 1842.",Il y a eu des tuileries dans le quartier.,,,Artisanat,,,,,
Chemin Diéderichs,Diéderichs (chemin),CHEMIN,7e,,Supprimée,Attesté en 1969 et supprimé avant 2000.,A été également dénommée passage Fillon.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Propriétaire des terrains.,Quai Fillon,,Histoire locale/Urbanisme/Personnalité,,69387.0,28497.0,,6903872190Y
Chemin dit de la Mère-Ballard,Mère-Ballard (chemin dit de),CHEMIN,7e,La Guillotière,Supprimée,Attesté seulement en 1828.,"Aboutissait chemin de Gerland, presque en face du chemin du Vivier.",Fiches préparatoires de Vanario.,Inconnue.,,,,,,,,
Chemin du Cimetière,Cimetière (chemin du),CHEMIN,9e,Saint-Rambert-l'Île-Barbe,Supprimée,Attesté en 1921.,Existait vraisemblablement depuis la création du cimetière au début du XIXe siècle.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002).
Installation d'une lampe électrique en 1921. Délibération du Conseil Municipal du 12 janvier 1921.",Le cimetière de Saint-Rambert fut créé au début du XIXe siècle.,Montée des Balmes,,Cimetière,,,,,
Chemin du Diable,Diable (chemin du),CHEMIN,3e,,Supprimée,Attesté en 1858.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
2S/504",Inconnue.,,,,,,,,
Chemin du Four-à-Chaux,Four-à-Chaux (chemin du),CHEMIN,6e,La Guillotière,Supprimée,Attesté de 1842 à 1856.,"Chemin vicinal ordinaire n° 156.
A été supprimé lors de la création du parc de la Tête-d'Or.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),Ce four était situé à peu près vers l'actuel Monument des Enfants du Rhône.,,,Industrie/Bâtiment,,,,,
Chemin du Petit-Pont,Petit-Pont (chemin du),CHEMIN,3e,La Guillotière,Supprimée,Attesté en 1823.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Chemin du Rempart-de-Saint-Just,Rempart-de-Saint-Just (chemin du) ,CHEMIN,5e,,Supprimée,Attesté en 1821.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),En référence à l'enceinte fortifiée du cloître Saint-Just.,,,Fortifications/Histoire militaire,,,,,
Chemin du Rozet,Rozet (chemin du),CHEMIN,9e,Saint-Rambert-l'Île-Barbe,Supprimée,Attesté en 1840.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Délibération du Conseil Municipal de Saint-Rambert (changement de direction)",Inconnue.,,,,,,,,
Chemin Grosjean,Grosjean (chemin),CHEMIN,7e,3e,Supprimée,Attesté seulement en 1853.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
indicateur de Lyon de 1853.",Inconnue.,,,,,,,,
Chemin Ocheron,Ocheron (chemin),CHEMIN,9e,Saint-Rambert-l'Île-Barbe,Supprimée,Attesté au XVIIe siècle.,A existé sur le territoire de Saint-Rambert.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Cour de Vauzelles,Vauzelle (cour de),COUR,1er,,Supprimée,Attestée en 1955.,Cour commune.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1955.","La famille de Vauzelles occupa une place notable à Lyon, au XVIe siècle.",Montée de Vauzelles,,Renaissance,,,,,
Cour des Feuillants,Feuillants (cour des),COUR,1er,,Supprimée,Attestée en 1844.,,Délibération du Conseil municipal du 30 mai 1844. Rues de Lyon à travers les siècles de Maurice Vanario (2002),Les Feuillants y ont eu leur monastère Saint-Charles de 1619 à la Révolution française.,,,Religion,,,,,
Cour des Fiacres,Fiacres (cour des),COUR,1er,,Supprimée,Attestée en 1977.,Cour existant depuis le XVIIIe siècle.,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Courly : nomenclature des voies de la Ville de lyon de 1977.",Voiture à cheval louée à la course ou à l'heure.,Place Tolozan,,Transport,,,,,
Cour du Vercors,Vercors (cour du),COUR,7e,,Supprimée,A été supprimée avant 1988.,,,Haut-lieu de la Résistance française.,Rue du Vercors,,1939-1945/Résistance,,69387.0,30072.0,31946.0,
Cour Saint-Nizier,Saint-Nizier (cour) ,COUR,2e,,Supprimée,,A été également dénommé allée des Morts ou passage Saint-Nizier.,,"Évêque de Lyon au VIe siècle, à qui est dédiée l'église sur la place.",,,Religion/Personnalité,,,,,
Cour Saint-Romain,Saint-Romain (cour),COUR,5e,,Supprimée,Attestée en 1860.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,Religion/Personnalité,,,,,
Cours des Tapis,Tapis (cours des),COURS,4e,,Supprimée,Attesté en 1845.,"A été supprimé lors de la création du boulevard de la Croix-Rousse.
Certaines adresses ont été absorbées par le boulevard de la Croix-Rousse ou la place Tabareau.",1S/84 et Indicateur de 1845.,Talus couverts d'herbe des anciens remparts de la Croix-Rousse.,,,Fortifications/Histoire militaire/Urbanisme,,,,,
Cours du Mail,Mail (cours du),COURS,1er / 4e,,Supprimée,Dénommé en 1824.,"Ancien fossé des fortifications de la Croix-Rousse.
Nom tombé peu à peu en désuétude entre 1830 et 1850 après la reconstruction du rempart.",Délibération du Conseil municipal du 28 mai 1824. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Ancien fossé des fortifications de la Croix-Rousse, qui avait dû servir au jeu de mail (apparenté au croquet).
Un jeu de mail devait être établi en cet endroit.",Rue d'Austerlitz,Rue Pailleron,Sport,,,,,
Cours Mogniat,Mogniat (cours),COURS,2e,,Supprimée,Attesté en 1821.,"Situé vers le cours du Midi, actuel cours de Verdun.",Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Nom du propriétaire de l'île située au sud du Confluent, qui a permis l'extension de la Presqu'île au sud à partir des travaux de Michel-Antoine Perrache.",,,Urbanisme/Histoire locale/Personnalité,,,,,
Cours Neufbourg,Neufbourg (cours),COURS,3e,,Supprimée,Attesté seulement en 1868.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Rue Richard-Vitton,,,,,,,
Cul-de-sac de Liotard,Liotard (cul-de-sac de),CUL-DE-SAC,1er,,Supprimée,Attesté en 1745.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Rue de la Pêcherie,,,,,,,
Cul-de-sac du Petit-Chameau,Petit-Chameau (cul-de-sac du),CUL-DE-SAC,1er,,Supprimée,Attesté en 1680.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
DD/56 bis.",Inconnue.,,,,,,,,
Cul-de-sac Saint-Barthélemy,Saint-Barthélemy (cul-de-sac),CUL-DE-SAC,5e,,Supprimée,Attesté en 1680.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
DD/56 bis p.73.",Nom d'une chapelle ou recluserie établie ici au XIe siècle.,,,Religion/Personnalité,,,,,
Espace Guignol,Guignol (espace),ESPACE,4e,,Supprimée,Dénommé en 1998.,Sans appellation antérieure.,Délibération du Conseil municipal du 13 mars 1998 et inauguré le 29 mai 1999. Rues de Lyon à travers les siècles de Maurice Vanario (2002),Marionnette inventée par Laurent Mourguet en 1804.,Boulevard des Canuts,Rue Denfert-Rochereau,Humour/Histoire locale,,,,,
Grande rue Chalier,Chalier (grande rue),RUE,4e,La Croix-Rousse,Supprimée,Attestée seulement en 1794.,,Fiches préparatoires de Vanario.,"Marie-Joseph Chalier, commerçant en soierie, chef du parti montagnard à Lyon, né à Beaulard (Piemont) en 1747 et guillotiné à Lyon le 16 juillet 1793.",,,Soie/Personnalité/Révolution française,,,,,
Impasse Arloing,Arloing (impasse),IMPASSE,9e,,Supprimée,,,40II fonds Louis Carriot,"Saturnin Arloing est né le 3 janvier 1846 à Cusset (Allier). Vétérinaire et directeur de l'École vétérinaire de Lyon. Fondateur, avec Jules Courmont, de l'Institut bactériologique et du dispensaire anti-tuberculeux de Lyon. Mort le 21 mars 1911 à Lyon (5e).",26 quai d'Arloing,,Enseignement/Médecine/Médecine vétérinaire/Personnalité,,,,,
Impasse Baraban,Baraban (impasse),IMPASSE,3e,,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Nom d'un vaste domaine sur le sol duquel a été tracée cette rue, la ""terre de Barabant"" figure sur un plan de 1839.",77 rue de Baraban,,Histoire locale,,,,,
Impasse Barthélemy-Buyer,Barthélemy-Buyer (impasse),IMPASSE,5e,,Supprimée,Attestée en 1955.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Il introduisit l'imprimerie à Lyon en 1473. Conseiller de ville en 1483.,,,Imprimerie/Personnalité,,,,,
Impasse Bataille,Bataille (impasse),IMPASSE,8e,7e,Supprimée,Attestée en 1955.,,Fiches préparatoires de Vanario.,"Jean-Marie Bataille, né le 14 septembre 1838 à Sainte-Foy-lès-Lyon, décédé le 4 septembre 1912 à Lyon (3e). Conseiller municipal, adjoint au maire, vice-président du Bureau de bienfaisance.",6 ch. Des Alouettes,,Politique/Personnalité,,,,,
Impasse Benoist-Mary,Benoist-Mary (impasse),IMPASSE,5e,,Supprimée,Attestée en 1955,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Marie-Benoît-Antoine-Renard, dit Benoist Mary, né et mort à Lyon (5e), 1er octobre 1864- 13 décembre 1944. Acteur de théâtre populaire. Il a lancé le personnage de la mère Cotivet. ",,,Théâtre/Histoire locale/Personnalité,,,,,
Impasse Beraud,Beraud (impasse),IMPASSE,8e,,Supprimée,Attestée en 1920 et supprimée en 1987.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Rue Bataille,,,,69388.0,28731.0,,6903880880V
Impasse Bonnel,Bonnel (impasse),IMPASSE,3e,,Supprimée,Attestée de 1862 à 1879.,,315W,"Jacques de Bonnel, échevin 1702-1703. Né le 12 mars 1630 (paroisse Saint-Paul), décédé le 5 juin 1704 (Paroisse Sainte-Croix).",,,Échevin/Personnalité,,,,,
Impasse Bullion,Bullion (impasse),IMPASSE,7e,3e,Supprimée,Attestée de 1903 à 1962.,Voie supprimée lors de la construction du port industriel.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Impasse Casimir-Périer,Casimir-Périer (impasse),IMPASSE,2e,,Supprimée,Attestée en 1955.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1955.","Casimir-Pierre Périer, né le 11 octobre 1777 à Grenoble et mort le 16 mai 1832 à Paris. Banquier et homme d'État.",Cours Charlemagne,,Politique/Banque/Personnalité,,,,,
Impasse Chabrol,Chabrol (impasse),IMPASSE,7e,La Guillotière,Supprimée,Attestée seulement en 1851.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002) et fiches préparatoires de Vanario.
Recensement de la Guillotière de 1851.",Inconnue.,,,,,,,,
Impasse Claudius-Penet,Claudius-Penet (impasse),IMPASSE,3e,,Supprimée,Attestée en 1955.,,"Fiches préparatoires de Vanario.
Listes des voies privées de 1955.",Propriétaire des terrains.,Route de Genas,,Histoire locale/Personnalité,,,,,
Impasse Commarmot,Commarmot (impasse),IMPASSE,1er,,Supprimée,Attestée en 1680.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
DD/56 bis p.200-201",Nom du propriétaire du terrain.,,,Histoire locale/Urbanisme/Personnalité,,,,,
Impasse Cucharnois,Cucharnois (impasse),IMPASSE,1er,,Supprimée,Attestée de 1873 à 1883.,Ne figure plus sur les indicateurs après 1883.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Une famille Cuchernois existait à Lyon sous l'ancien régime.,,,Histoire locale,,,,,
Impasse de Gerland,Gerland (impasse de),IMPASSE,7e,3e,Supprimée,Attestée en 1955.,,"Fiches préparatoires de Vanario.
Liste des voies privées de 1955.","Nom du quartier et du château, d'origine inconnue.",Rue de Gerland,,Histoire locale,,,,,
Impasse de Grange-Rouge,Grange-Rouge (impasse de),IMPASSE,8e,3e,Supprimée,Attestée en 1885.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Liste des voies privées de 1885.",Nom d'un domaine.,Chemin de Grange-Rouge,,Histoire locale,,,,,
Impasse de la Cour,Cour (impasse de la),IMPASSE,3e,,Supprimée,Attestée en 1906.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,,,,,,,,
Impasse de la Douane,Douane (impasse de la),IMPASSE,5e,,Supprimée,Attestée en 1821 et supprimée en 1902.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Plan géométral de la Ville, Coillet, 1821.","Aux XVIIe et XVIIIe siècles, siège de la Douane de Lyon.",,,Douane,,,,,
Impasse de la Duchère,Duchère (impasse de la),IMPASSE,9e,,Supprimée,Attestée en 1887.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Nom très ancien d'un domaine, qui remonte au moins au XIVe siècle.",Rue de la Duchère,,Histoire locale/Moyen Âge,,,,,
Impasse de la Fontaine,Fontaine (impasse de la),IMPASSE,1er,,Supprimée,,,Fiches préparatoires de Vanario.,Inconnue.,20 cours des Chartreux,,Histoire locale,,,,,
Impasse de la Grande-Côte,Grande-Côte (impasse de la),IMPASSE,1er,,Supprimée,Attestée seulement en 1821.,,"Rues de Lyon à travers les siècles de Maurice Vanario (2002)
Plan géométral de la Ville, Coillet, 1821.",Tire son nom de sa longueur et de sa déclinaison.,,,Topographie,,,,,
