Voie par ordre alpha des voies,Voie par ordre alpha des noms,Type de voie,Arrt de Lyon (actuel),Arrondissement ou commune d'origine,Validité,Création et modifications,Historique de la voie,Sources,Origine du nom de la voie,Tenant,Aboutissant,Thématiques,Domanialité,Code INSEE,Code FUV,Code FUV actu,Code FANTOIR
Allée de Ceinture,Ceinture (allée de),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Entoure la partie sud du Parc de la Tête-d'Or.,Allée du Lac,Allée du Chemin-de-Fer,Parc,Commune,69386.0,33767.0,,6903861361B
Allée de Fontenay,Fontenay (allée de),ALLEE,7e,,Actuelle,Dénommée en 2005.,A été dénommée mail de Fontenay de 200 à 2005.,Délibération du Conseil municipal du 10 octobre 2005.,"Ce chemin longe le dos de l'École Normale Supérieure Lettres et Sciences Humaines. Il honore la ville de Fontenay-aux-Roses, en région parisienne, dans laquelle cette école a commencé à former les jeunes destinées à devenir institutrices. L'école  a déménagé à Lyon en l'an 2000, préparant désormais à l'agrégation.",Rue André-Bollier,Avenue Debourg,Enseignement supérieur,Métropole,69387.0,34431.0,,6903872918P
Allée de la Santé,Santé (allée de la),ALLEE,5e,,Actuelle,Attestée en 1938.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Rue François-Genin,,,Privé,69385.0,28135.0,,6903856665W
Allée de la Sauvegarde,Sauvegarde (allée de la),ALLEE,9e,,Actuelle,Dénommée en 2007.,,Délibération du Conseil municipal du 25 juin 2007.,"Sauvegarde est le nom du quartier. L’origine semble être très ancienne car il y avait un hameau nommé la Sauvegarde, à Écully, sous la domination romaine.",Rue Louis-Juttet,Avenue Ben-Gourion,Histoire locale/Urbanisme/Antiquité,Métropole,69389.0,35335.0,,6903896699R
Allée de la Tête-d'Or,Tête-d'Or (allée de la),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,"Nom provenant d'une légende relative à une tête en or, qui aurait été enterrée sur le domaine qui portait déjà ce nom en 1520, alors propriété de la famille Lambert.",Allée de Ceinture,Allée du Parc-aux-Daims,Histoire locale,Commune,69386.0,33774.0,,6903866952D
Allée de la Volière,Volière (allée de la),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,"La volière d'origine du parc de la Tête d'Or, détruite vers 1966, fut réalisée par Jules Lasnier en 1858.",Allée du Grand-Camp,Allée de Ceinture,Ornithologie,Commune,69386.0,33769.0,,6903867525B
Allée de l'Aquilon,Aquilon (allée de l'),ALLEE,9e,5e,Actuelle,Dénommée en 1959.,A été dénommée allée Palandre.,"Nom attribué par la Société Immobilière de la Gravière avec apporbation du maire de Lyon le 14 décembre 1959. 
Rues de Lyon à travers les siècles de Maurice Vanario (2002)",Nom attribué par la Société Immobilière de la Gravière avec apporbation du maire de Lyon le 14 décembre 1959.,Rue de la Persévérance,,Mythologie,Privé,69389.0,28940.0,,6903890420R
Allée de l'Aurore,Aurore (allée de l'),ALLEE,5e,,Actuelle,Attestée en 1936.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Rue des Aqueducs,,,Privé,69385.0,28134.0,,6903850565R
Allée de l'Île,Île (allée de l'),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Conduit à la Grande-Île du parc de la Tête-d'Or.,Pont du Chalet,Allée des Ébats,Géographie,Commune,69386.0,33764.0,,6903863578L
Allée de l'Observatoire,Observatoire (allée de l'),ALLEE,9e,,Actuelle,Créée en 1959.,Voie ouverte et dénommée en 1959 par la Société immobilière de la Gravière.,Accord du Maire de Lyon du 4 octobre 1959. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Voie ouverte et dénommée ainsi, en 1959, par la société immobilière de la Gravière.",Rue de la Gravière,,Urbanisme,Privé,69389.0,28941.0,,6903895110N
Allée de Lodz,Lodz (allée de),ALLEE,7e,,Actuelle,Dénommée en 1996.,,Délibération du Conseil municipal du 8 juillet 1996. Rues de Lyon à travers les siècles de Maurice Vanario (2002),Ville de Pologne jumelée avec Lyon.,Rue Jonas-Salk,,Jumelage/Pologne,Métropole,69387.0,33715.0,,6903874220E
Allée de l'Orangerie,Orangerie (allée de l'),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,En référence au bâtiment de l'Orangerie du parc de la Tête-d'Or.,Allée des Ébats,Allée du Chemin-de-Fer,Botanique,Commune,69386.0,33762.0,,6903865261R
Allée des Cavatines,Cavatines (allée des),ALLEE,9e,,Actuelle,Créée en 1959.,Nouvelle voie.,Dénommée par la Société immobilière de la Gravière avec accord du Maire le 14 novembre 1959. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Dénommée par la Société immobilière de la Gravière. Une cavatine est une courte pièce vocale pour soliste utilisée dans les opéras ou les oratorios du XVIIIᵉ siècle et du XIXᵉ siècle, et qui ne comporte qu'une ou deux sections sans reprises.",Rue de la Gravière,Rue de la Gravière,Musique,Privé,69389.0,28942.0,,6903891320U
Allée des Ébats,Ébats (allée des),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,"Du nom de la pelouse du Parc de la Tête d'Or, dédiée à des activités ludiques ou sportives d’entraînement. Elle fut la seule prairie autorisée au public jusqu’en 2002, date à laquelle toutes les pelouses sont devenues accessibles.",Allée du Chemin-de-Fer,,Sport,Commune,69386.0,33761.0,,6903862435U
Allée des Marronniers,Marronniers (allée des),ALLEE,1er,,Actuelle,Attestée en 1922.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Elle rend hommage à la double rangée d'arbre qui la borde.,Rue Pierre-Dupont,,Botanique,Privé,69381.0,27256.0,,6903814600U
Allée des Ormeaux,Ormeaux (allée des),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,En référence à l'espèce d'arbres.,Allée du Chalet,Allée du Lac,Botanique,Commune,69386.0,33760.0,,6903865265V
Allée des Pavillons,Pavillons (allée des),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,"Il s'agit probablement de Pavillons dans le sens de maisons.

",,,Urbanisme,Privé,69386.0,28355.0,,6903865310U
Allée des Serres,Serres (allée des),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Longe les serres du parc de la Tête d'Or.,Allée du Fleuriste,,Botanique,Commune,69386.0,33773.0,,6903866736U
Allée des Tamaris,Tamaris (allée des),ALLEE,5e,,Actuelle,,Nouvelle voie.,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Rue Pierre-Valdo,,,Privé,69385.0,28136.0,,6903856870U
Allée des Troènes,Troènes (allée des),ALLEE,5e,,Actuelle,Dénommée en 1957.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Boulevard des Castors,,Botanique,Privé,69385.0,28137.0,,6903857135G
Allée des Villas,Villas (allée des),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Allée qui longe les demeures entre le boulevard des Belges et le parc de la Tête d'Or.,Allée de Ceinture,Allée de la Tête-d'Or,Urbanisme/Histoire locale,Commune,69386.0,33775.0,,6903867390E
Allée d'Italie,Italie (allée d'),ALLEE,7e,,Actuelle,Dénommée en 1986.,A été dénommée rue couverte des Abattoirs.,Délibération du Conseil municipal du 28 avril 1986. Rues de Lyon à travers les siècles de Maurice Vanario (2002),En souvenir de la communauté italienne habitant le quartier.,Place de l'École,Place des Pavillons,Immigration/Italie,Métropole,69387.0,30070.0,,6903873600F
Allée du Bon-Lait,Bon-Lait (allée du),ALLEE,7e,,Actuelle,Dénommée en 2006.,Nouvelle voie.,Délibération du Conseil municipal du 18 septembre 2006.,Prend son nom d'une usine Le Bon Lait qui a occupé les lieux au XXe siècle.,Rue Félix-Brun,Place du Traité-de-Rome,Industrie,Métropole,69387.0,35263.0,,6903870994Y
Allée du Capitaine-Frank-Labois,Capitaine-Frank-Labois (allée du),ALLEE,8e,,Actuelle,Dénommée en 2021.,A été une allée sans dénomination jusqu'en 2021. Plaque dévoilée le 13/01/2022.,Délibération du Conseil municipal du 8 juillet 2021.,"Fonctionnaire de police, décédé en service  le 11/01/2020 à Bron.",Rue Bataille,Rue Président-Krüger,Police/Personnalité,Commune,69388.0,37267.0,,
Allée du Chalet,Chalet (allée du),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,"En référence au pavillon du Chalet, bâtiment du parc de la Tête-d'Or.",Allée Achille-Lignon,Allée du Grand-Camp,Parc,Mixte,69386.0,33763.0,,6903861369K
Allée du Champ-de-Colle,Champ-de-Colle (allée du),ALLEE,5e,,Actuelle,Créée en 2011.,Nouvelle voie.,Délibération du Conseil municipal du 28 février 2011.,"Nom du lieu au moyen âge. Une étymologie le fait découler des martyrs de Lyon, les ""décollés"" (décapités).",Rue de l'Antiquaille,,Histoire locale,Privé,69385.0,35913.0,,6903851405D
Allée du Chemin-de-Fer,Chemin-de-Fer (allée),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,En référence au petit train du parc de la Tête d'Or.,Allée de Ceinture,Allée du Lac,Parc,Commune,69386.0,33759.0,,6903861607U
Allée du Fleuriste,Fleuriste (allée du),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Se trouve à proximité des serres et du jardin botanique du Parc de la Tête d'Or.,Allée du Parc-aux-Daims,Allée du Pré-Fleuri,Botanique,Commune,69386.0,33772.0,,6903862803U
Allée du Grand-Camp,Gramp-Camp (allée du),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,"Le Grand Camp était l’appellation donnée depuis la fin du XVIIIe siècle aux terrains de La Doua. Lieu où se déroula la fête de la fédération ou ""grand camp fédératif"", du 30 mai 1790.",Allée de Ceinture,Allée du Chemin-de-Fer,Histoire locale/Révolution française/Histoire militaire,Commune,69386.0,33758.0,,6903863304N
Allée du Lac,Lac (allée du),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Longe la partie nord-ouest du lac du parc de la Tête-d'Or.,Allée de Ceinture,Allée du Chalet,Géographie,Commune,69386.0,33766.0,,6903864081H
Allée du Parc,Parc (allée du),ALLEE,3e,,Actuelle,Créée en 1994.,Nouvelle voie.,Délibération du Conseil municipal du 4 juillet 1994. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"L'allée semble se référer au parc de la Buire, qui en occupe un côté sous le nom de parc Kaplan.",Rue Julien-Duvivier,Rue du Diapason,Espaces verts,Mixte,69383.0,32803.0,,6903835200M
Allée du Parc-aux-Daims,Parc-aux-Daims (allée du),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Située le long du parc aux daims du parc de la Tête-d'Or.,Allée de la Volière,Allée du Fleuriste,Zoologie,Mixte,69386.0,33768.0,,6903865279K
Allée du Parc-aux-Moutons,Parc-aux-Moutons (allée du),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Le parc aux moutons figure sur le plan du parc de la Tête-d'Or levé par Dignoscyo fils en 1860 : des devis estimatifs datant de 1859 concernent la fourniture de matériaux propres à réaliser trois parcs à moutons (avec 8 râteliers).,Allée de l'Orangerie,Allée de la Volière,Zoologie,Commune,69386.0,33770.0,,6903865281M
Allée du Pré-Fleuri,Pré-Fleuri (allée du),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,"Allée du parc de la Tête-d'Or qui, comme son nom l'indique, longe les serres et des pelouses fleuries.",Allée de Ceinture,Allée de la Volière,Botanique,Commune,69386.0,33771.0,,6903865808K
Allée du Soleil,Soleil (allée du),ALLEE,6e,,Actuelle,Dénommée en 2007.,Allée du parc de la Tête-d'Or.,Délibération du Conseil municipal du 17 septembre 2007.,Inconnue.,Allée du Grand-Camp,Allée de Ceinture,,Commune,69386.0,34710.0,,6903866809Y
Allée Édith-Piaf,Édith-Piaf (allée),ALLEE,9e,,Actuelle,Dénommée en 2006.,Nouvelle voie.,Délibération du Conseil municipal du 18 septembre 2006.,"Édith Giovanna Gassion dite Piaf, née le 19 décembre 1915 à Paris, morte le 10 octobre 1963 à Grasse.  Chanteuse, parolière, compositrice et actrice.",,,Musique/Femme/Personnalité,Privé,69389.0,35278.0,,6903892437H
Allée Emmanuel-Gounot,Emmanuel-Gounot (allée),ALLEE,5e,,Actuelle,Dénommée en 1986.,Nouvelle voie.,Délibération du Conseil municipal du 28 avril 1986. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Bâtonnier, professeur de droit. Président de la Fédération des familles de France. Né en 1885, mort en 1960.",Avenue du Poin-du-Jour,,Justice/Personnalité,Métropole,69385.0,30078.0,,6903852510E
Allée Eugénie-Niboyet,Eugénie-Niboyet (allée),ALLEE,7e,,Actuelle,Dénommée en 2016.,Nouvelle voie.,Délibération du Conseil municipal du 4 juilllet 2016.,"Eugénie Niboyet, née Mouchon le 11 septembre 1796 à Montpellier et morte le 6 janvier 1883 à Paris. Écrivaine et journaliste, militante du droit des femmes, figure du féminisme. Elle a passé son enfance à Lyon où son père s'était installé comme pharmacien. Revenue à Lyon en 1833, elle y a fondé des journaux, le conseiller des femmes, l'athénée des femmes, la paix des deux mondes.",Rue Pré-Gaudry,Rue Crépet,Littérature/Femme/Féminisme/Journalisme/Personnalité,En attente,69387.0,36619.0,,6903872608C
Allée Évelyne-Pisier,Évelyne-Pisier (allée),ALLEE,7e,,Actuelle,Dénommée en 2020.,,Délibération du Conseil municipal du 27 janvier 2020.,"Évelyne Pisier, parfois Pisier-Kouchner, essayiste, professeur de droit public, et politologue française, née le 18 octobre 1941 à Hanoï et morte le 9 février 2017 à Toulon. ",Route de Vienne,Rue du Repos,Droit/Littérature/Politique/Femme/Personnalité,Privé,69387.0,37213.0,,
Allée Flora-Tristan,Flora-Tristan (allée),ALLEE,7e,,Actuelle,Dénommée en 2016.,Nouvelle voie.,Délibération du Conseil municipal du 14 novembre 2016.,"Née le 7 avril 1803 à Paris, morte le 14 novembre 1844 à Bordeaux. Femme de lettres, penseuse et militante socialiste et féministe. ",,,Littérature/Femme/Féminisme/Personnalité,En attente,69387.0,36887.0,,6903872810X
Allée George-Sand,George-Sand (allée),ALLEE,7e,,Actuelle,Dénommée en 2020.,A été dénommée rue George-Sand de 2018 à 2020.,Délibération du Conseil municipal du 19 décembre 2019.,"Pseudonyme d'Amantine Aurore Lucile Dupin de Francueil, par mariage baronne Dudevant. Romancière, dramaturge, épistolière, critique littéraire et journaliste, née à Paris le 1er juillet 1804, morte au château de Nohant-Vic le 8 juin 1876.",Boulevard Yves-Farge,Rue Félix-Brun,Littérature/Journalisme/Femme/Personnalité,Privé,,37201.0,,
Allée Hannah-Arendt,Hannah-Arendt (allée),ALLEE,8e,,Actuelle,Dénommée en 2014.,Nouvelle voie.,Délibération du Conseil municipal du 7 juillet 2014.,"Politologue, philosophe et journaliste, née le 14 octobre 1906 à Hanovre en Allemagne, morte le 4 décembre 1975 à New York.",Cours Albert-Thomas,Avenue des Frères-Lumière,Politique/Philosophie/Femme/Personnalité,Métropole,69388.0,36297.0,,6903883420F
Allée Henriette,Henriette (allée),ALLEE,5e,,Actuelle,,Nouvelle voie,?,L'épouse du lotisseur se prénommait Henriette.,,,Histoire locale/Urbanisme/Femme/Personnalité,Privé,69385.0,28138.0,,6903853526J
Allée Jacky-Maurice,Jacky-Maurice (allée),ALLEE,9e,,Actuelle,Dénommée en 2018.,"Fragment du boulevard de la Duchère.
A été dénommée rue Jacky-Maurice.",Délibération du Conseil municipal du 28 mai 2018.,"Responsable des espaces verts pour la Duchère de 1992 à 2010. Né en 1957, mort en 2011.",Avenue du Plateau,Avenue Rosa-Parks,Espaces verts/Personnalité,En attente,69389.0,37063.0,,6903893520K
Allée Jeanne-Barret,Jeanne-Barret (allée),ALLEE,2e,,Actuelle,,,Délibération du Conseil municipal du 29 janvier 2018.,"Botaniste et exploratrice née en 1740, morte en 1807.",rue Delandine prolongée,quai Perrache,Botanique/Femme/Personnalité,Privé,69382.0,37026.0,,6903823820S
Allée Jean-Quiquerez,Jean-Quiquerez (allée),ALLEE,9e,,Actuelle,Dénommée en 1992.,A été une voie sans dénomination.,Delibération du Conseil municipal du 22 mars 1992. Rues de Lyon à travers les siècles de Maurice Vanario (2002),"Sapeur pompier, actif aussi à la maison des jeunes de la Duchère. Né le 12 juin 1941 à Lyon, mort le 7 mai 1988.",Boulevard de Balmont,,Risques et secours/Pompiers/Personnalité,Privé,69389.0,32713.0,,6903893830X
Allée Josette-Maillon-Perrin,Josette-Maillon-Perrin (allée),ALLEE,3e,,Actuelle,Créée en 2022.,Allée longeant la ligne de tramway T3.,Délibération du Conseil municipal du 19 mai 2022.,"Josette Maillon-Perrin est née le 27 mars 1931 à Lyon 2ème.
Bénévole à la Croix-Rouge dès l’âge de 20 ans, et pendant 37 ans, Josette Maillon-Perrin
a adhéré au Comité d’intérêt local (CIL) Dauphiné Sans-Souci en 1965, et en a longtemps
été secrétaire.
Parallèlement à son métier d’assistante de direction, elle fut membre de nombreuses
associations, notamment Sauvegarde et embellissement de Lyon et Renaissance du
Vieux-Lyon.
Très engagée dans la vie de son quartier, elle a participé à la préparation de la fresque
Jean-Moulin sur le mur d’enceinte de la prison Montluc, en hommage aux Résistants.
Elle s’est également battue pour la sauvegarde de la maison du garde-barrière sur la ligne
de l’est, visible encore aujourd’hui au croisement de la rue du Dauphiné et de l’avenue
Lacassagne, ainsi que de la maison des grandes caves de Lyon, qui est devenue le château
Sans-Souci.
Josette Maillon-Perrin a reçu l’insigne de Chevalier dans l’Ordre National du Mérite.
Elle est décédée le 11 février 2017, à l’âge de 85 ans. ",Rue des Cadets-de-la-France-Libre,Avenue Lacassagne,Personnalité/Femme,En attente,69383.0,37287.0,,
Allée Léopold-Sédar-Senghor,Léopold-Sédar-Senghor (allée),ALLEE,7e,,Actuelle,Dénommée en 2006.,Nouvelle voie.,Délibération du Conseil municipal du 18 septembre 2006.,"Homme d'État et poète, membre de l'Académie française, né le 9 octobre 1906 à Joal (Sénégal), mort le 20 décembre 2001 à Verson.",Rue Clément-Marot,Rue André-Bollier,Littérature/Politique/Académie/Personnalité,Métropole,69387.0,35256.0,,6903874213X
Allée Louis-Thomas-Achille,Louis-Thomas-Achille (allée),ALLEE,2e,,Actuelle,Dénommée en 2022.,,Délibération du Conseil municipal du 10 novembre 2022.,"Louis Thomas Achille est né le 31 août 1909 à Balata, Fort-de-France et décédé le 11 mai 1994 à Lyon. Professeur agrégé d'anglais au lycée du Parc et fondateur du Park Glee Club (chorale puis centre de documentation).",Rue Delandine,Quai Perrache,Enseignement/Musique/Personnalité,,,,,
Allée Lucien-Bégule,Lucien-Bégule (allée),ALLEE,2e,,Actuelle,Créée vers 2018.,Nouvelle voie.,Lyon Citoyen mars 2018.,"Peintre-verrier et archéologue, né le 10 mai 1848 à Saint-Genis-Laval, mort à Lyon le 31 janvier 1935.",Cours Charlemagne,rue Smith,Artisant d'art/Peintre-verrier/Personnalité,Privé,69382.0,37024.0,,6903824300N
Allée Lucius-Munatius-Plancus,Lucius-Munatius-Plancus (allée),ALLEE,5e,,Actuelle,Dénommée en 2015.,,Délibération du Conseil municipal du 1er juin 2015.,"Gouverneur de la Gaule, fondateur de Lugdunum en 43 avant J.C.",Rue Roger-Radisson,Chemin de la Visitation,Antiquité/Personnalité,,,,,
Allée Marchande,Marchande (allée),ALLEE,2e,,Actuelle,Attestée en 1860.,,Rues de Lyon à travers les siècles de Maurice Vanario (2002),Inconnue.,Quai Saint-Antoine,Rue Mercière,,En attente,69382.0,30252.0,,
Allée Marie-Louise-Rochebillard,Marie-Louise-Rochebillard (allée),ALLEE,2e,,Actuelle,Créée en 2011.,Nouvelle voie.,Délibération du Conseil municipal du 7 novembre 2011.,"Pionnière du syndicalisme féminin, née le 4 juin 1860 à Changy, morte le 30 janvier 1936 à Lyon.",Quai Rambaud,Allée André Mure,Syndicalisme/Femme/Personnalité,Métropole,69382.0,37145.0,,
Allée Marius-Donjon,Marius-Donjon (allée),ALLEE,9e,,Actuelle,Dénommée en 2013.,,Délibération du Conseil municipal du 13 mai 2013.,"Adjoint au maire, né le 17 mai 1903 à Montceau-les-Mines, mort à Lyon (2e) le 29 novembre 1978.",,,Politique/Personnalité,En attente,69389.0,36087.0,,6903894585T
Allée Maryam-Mirzakhani,Maryam-Mirzakhani (allée),ALLEE,7e,,Actuelle,Dénommée en 2020.,,Délibération du Conseil municipal du 19 décembre 2019.,"Mathématicienne iranienne, professeure à l'université Stanford, connue pour ses travaux en topologie et en géométrie (notamment en géométrie des surfaces de Riemann) et la seule femme récipiendaire de la médaille Fields (13 août 2014). Née le 12 mai 1977 à Téhéran, décédée le 14 juillet 2017 à Stanford (Californie).",Avenue Debourg,Impasse du Vercors,Sciences et techniques/Mathématiques/Femme/Personnalité,Commune,69387.0,37204.0,,
